ident,E1,E2,E3,E4,E5,E6,E7
a5,1,0,0,0,0,0,0
a900118001076594,0,0,0,1,1,0,0
a900118001076747,0,0,0,1,0,0,0
a900118001076846,0,0,0,1,0,0,0
a900118001079885,0,0,0,0,1,0,0
a900118001080937,0,0,0,0,1,0,0
a900118001081422,0,0,0,1,0,0,0
a900118001083236,0,0,0,0,1,0,0
a928000406562703,0,1,0,0,0,0,0
a982000406255117,1,0,0,0,1,0,0
a982000406255125,1,0,0,0,0,0,0
a982000406255129,1,0,0,1,0,0,0
a982000406255137,1,0,0,0,1,0,0
a982000406255139,1,0,0,0,0,0,0
a982000406255142,1,0,0,1,1,0,0
a982000406255160,1,0,0,0,0,0,0
a982000406255164,1,0,0,0,0,0,0
a982000406255180,0,1,1,0,0,0,0
a982000406255182,1,0,0,0,1,0,0
a982000406255183,1,0,0,0,0,0,0
a982000406255186,1,0,0,0,0,0,0
a982000406255188,1,0,0,0,0,0,0
a982000406255192,0,0,0,0,0,1,0
a982000406255200,1,0,0,0,1,0,0
a982000406562530,0,0,1,0,0,0,0
a982000406562534,0,0,1,0,0,0,0
a982000406562540,0,0,1,0,1,0,0
a982000406562560,0,0,1,0,0,0,0
a982000406562566,0,0,1,0,0,0,0
a982000406562569,0,0,1,0,1,0,0
a982000406562600,0,0,0,0,1,0,0
a982000406562611,0,0,1,0,1,1,0
a982000406562616,0,0,1,0,0,0,0
a982000406562624,0,1,0,1,0,0,0
a982000406562632,0,1,0,0,0,0,0
a982000406562634,0,1,0,1,0,1,0
a982000406562650,0,1,0,0,0,1,0
a982000406562653,0,1,0,0,0,0,0
a982000406562666,0,1,0,0,0,0,0
a982000406562696,0,1,0,0,1,0,0
a982000406562826,0,0,1,1,1,0,0
a982000406562830,0,0,0,0,1,1,0
a982000406562857,0,0,1,0,0,0,0
a982000406562859,0,0,1,1,0,0,0
a982000406562865,0,1,0,1,0,0,0
a982000406562876,0,0,1,1,0,0,0
a982000406562895,0,0,1,1,1,0,0
a982000406563030,0,0,0,0,1,0,0
a982000406563032,0,0,0,0,1,0,0
a982000406563033,0,0,0,0,1,0,0
a982000406563035,0,0,0,0,1,0,0
a982000406563036,0,0,0,0,1,0,0
a982000406563041,0,0,0,0,1,1,0
a982000406563045,0,0,0,0,1,0,0
a982000406563049,0,0,0,0,1,0,0
a982000406563058,0,0,0,0,1,1,0
a982000406563062,0,0,0,0,1,0,0
a982000406563068,0,0,0,1,0,0,0
a982000406563083,0,0,0,0,1,0,0
a982000406563105,0,0,0,0,1,1,0
a982000406563114,0,0,0,0,1,0,0
a982000406563128,0,0,0,0,1,0,0
a982000406563129,0,0,0,1,0,1,0
a982000406563134,0,0,0,0,1,1,0
a982000406563140,0,0,0,1,0,0,0
a982000406563162,0,0,0,1,0,0,0
a982000406563166,0,0,0,1,0,0,0
a982000406563167,0,0,0,1,0,1,0
a982000406563180,0,0,0,1,1,0,0
a982000406563183,0,0,0,1,1,0,0
a982000406563195,0,0,0,0,1,0,0
a982000406563201,0,0,0,1,0,0,0
a982000406563204,0,0,0,1,0,0,0
a982000406563206,0,0,0,1,0,0,0
a982000406563215,0,0,0,0,1,0,0
a982000406563216,0,0,0,1,0,0,0
a982000406563218,0,0,0,0,1,0,0
a982000406563222,0,0,0,1,1,0,0
a982000406563226,0,0,0,0,0,1,0
a982000406563242,0,0,0,1,0,0,0
a982000406563265,0,0,0,0,0,1,0
a982000406563271,0,0,0,1,0,1,0
a982000406563282,0,0,0,1,0,1,0
a982000406563288,0,0,0,0,1,0,0
a982000406563299,0,0,0,0,1,1,0
a982000406563301,0,0,0,1,0,0,0
a982000406563302,0,0,0,0,1,0,0
a982000406563303,0,0,0,0,1,0,0
a982000406563304,0,0,0,0,1,0,0
a982000406563310,0,0,0,0,1,0,0
a982000406563321,0,0,0,1,0,0,0